MAE,RMSE,R2,method,abl,subset,seed,z_dim,beta,like,misspec
0.8356856385152708,1.0472365780803357,0.9979997719500487,MB-GIB,scope,parent,0,,,,
2.2710429251452,2.7903463851595656,0.9857994179780023,MB-VIB,scope,parent,0,,,,
0.8269124580058366,1.0387180720284093,0.9980321803959851,BN,scope,parent,0,,,,
1.127805809428448,1.5137395828750078,0.9958208087849577,PureDNN,scope,parent,0,,,,
2.0775198975536693,2.5527257386822355,0.9881150263820226,IIB-style,scope,parent,0,,,,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,scope,mb,0,,,,
0.6596336629072006,0.8511627844119302,0.9986786582404151,MB-VIB,scope,mb,0,,,,
44.71931213512626,49.58662890788213,-3.484552121322701,BN,scope,mb,0,,,,
0.6093464912054288,0.7560408763082658,0.9989574894442522,PureDNN,scope,mb,0,,,,
1.0687029591701136,1.2701410647384241,0.9970576534536987,IIB-style,scope,mb,0,,,,
0.3915265745352145,0.48110319414487424,0.9995778503942963,MB-GIB,scope,global,0,,,,
0.7581513110738711,0.9588812563533171,0.9983230521148553,MB-VIB,scope,global,0,,,,
44.71931213512626,49.58662890788213,-3.484552121322701,BN,scope,global,0,,,,
0.791516462737995,1.0084821326698001,0.9981450751312112,PureDNN,scope,global,0,,,,
0.8584781611662297,1.0468227692512648,0.9980013523923518,IIB-style,scope,global,0,,,,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,4.0,0.001,student_t,
0.6362084683625632,0.7816642506027973,0.9988856274458355,MB-VIB,capacity_beta_like,,0,4.0,0.001,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,4.0,0.001,laplace,
0.4933652394355654,0.6205416755258654,0.9992976852082223,MB-VIB,capacity_beta_like,,0,4.0,0.001,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,4.0,0.003,student_t,
0.6163260935985426,0.7730274697490666,0.9989101172940384,MB-VIB,capacity_beta_like,,0,4.0,0.003,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,4.0,0.003,laplace,
0.6716531421279146,0.8199294712152729,0.998773851980477,MB-VIB,capacity_beta_like,,0,4.0,0.003,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,4.0,0.01,student_t,
1.1567252643257993,1.4783546954944011,0.9960139091073135,MB-VIB,capacity_beta_like,,0,4.0,0.01,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,4.0,0.01,laplace,
0.7960681738916497,1.0002981104256485,0.9981750591013602,MB-VIB,capacity_beta_like,,0,4.0,0.01,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,8.0,0.001,student_t,
0.5860219516032927,0.7373478912137312,0.9990084039400744,MB-VIB,capacity_beta_like,,0,8.0,0.001,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,8.0,0.001,laplace,
0.4901955800849109,0.611882182921173,0.9993171496722844,MB-VIB,capacity_beta_like,,0,8.0,0.001,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,8.0,0.003,student_t,
1.1805798424170542,1.3885786242402631,0.9964833361400215,MB-VIB,capacity_beta_like,,0,8.0,0.003,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,8.0,0.003,laplace,
0.7543836586716681,0.9119683098736951,0.9984831263685374,MB-VIB,capacity_beta_like,,0,8.0,0.003,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,8.0,0.01,student_t,
